class,filename,width,height,mode,mean_intensity,contrast,filepath,target
Normal,Normal-1575.png,299,299,L,102.73920873368307,41.74830968597489,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1575.png,0
COVID,COVID-2347.png,299,299,L,136.17874520419235,52.051391777296324,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2347.png,1
Normal,Normal-7364.png,299,299,L,141.01252782407354,61.12031522934855,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7364.png,0
Lung_Opacity,Lung_Opacity-391.png,299,299,L,119.3118757060883,49.35721142163926,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-391.png,0
Lung_Opacity,Lung_Opacity-4041.png,299,299,L,120.53079943177369,57.125129165199645,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4041.png,0
Normal,Normal-3536.png,299,299,L,116.02343374235187,54.31137032059,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3536.png,0
Normal,Normal-744.png,299,299,L,105.15685506873525,63.73600308186129,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-744.png,0
Viral Pneumonia,Viral Pneumonia-959.png,299,299,L,138.61607811993156,47.29852532320202,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-959.png,0
Normal,Normal-1936.png,299,299,L,122.69241954787978,65.53957415052092,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1936.png,0
COVID,COVID-2789.png,299,299,L,137.27403496605183,88.86531839818421,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2789.png,1
COVID,COVID-3241.png,299,299,L,159.8790281987897,71.22624722891165,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-3241.png,1
COVID,COVID-1228.png,299,299,L,158.36442545385398,50.54010730588808,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1228.png,1
COVID,COVID-935.png,299,299,L,168.44456997125312,63.07255165309762,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-935.png,1
COVID,COVID-2858.png,299,299,L,126.0090603013389,40.981647986043086,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2858.png,1
Lung_Opacity,Lung_Opacity-3569.png,299,299,L,116.50223151866311,65.55111406710881,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3569.png,0
Normal,Normal-7595.png,299,299,L,155.19817451706356,44.94088339875904,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7595.png,0
Lung_Opacity,Lung_Opacity-3036.png,299,299,L,159.44237760204024,62.050388267026456,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3036.png,0
Lung_Opacity,Lung_Opacity-303.png,299,299,L,158.1109047997226,60.67956448029787,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-303.png,0
Viral Pneumonia,Viral Pneumonia-702.png,299,299,L,111.21462847171732,57.08766235885241,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-702.png,0
Viral Pneumonia,Viral Pneumonia-1256.png,299,299,L,112.9080994619747,46.35260712955469,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-1256.png,0
COVID,COVID-1254.png,299,299,L,127.292066084272,86.87010002264313,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1254.png,1
Lung_Opacity,Lung_Opacity-4602.png,299,299,L,126.50163868413105,64.07161181948241,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4602.png,0
Lung_Opacity,Lung_Opacity-1890.png,299,299,L,83.52323799510073,72.56111170109673,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1890.png,0
COVID,COVID-514.png,299,299,L,152.56387512443933,43.37925123505896,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-514.png,1
Lung_Opacity,Lung_Opacity-5115.png,299,299,L,77.90422925918054,85.40719033739704,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5115.png,0
Normal,Normal-2249.png,299,299,L,163.80719455039653,63.40818716273726,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2249.png,0
Normal,Normal-9329.png,299,299,L,136.0880974485744,68.91930228014155,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9329.png,0
Lung_Opacity,Lung_Opacity-4335.png,299,299,L,148.02101766199482,77.07509375669487,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4335.png,0
Normal,Normal-1810.png,299,299,L,111.72753101195737,49.309665987357825,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1810.png,0
Lung_Opacity,Lung_Opacity-2292.png,299,299,L,168.9804588315567,42.2304262076645,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2292.png,0
Normal,Normal-6426.png,299,299,L,98.96873636760215,46.01004640485032,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6426.png,0
Lung_Opacity,Lung_Opacity-4838.png,299,299,L,109.9800673370544,50.43992952987532,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4838.png,0
Lung_Opacity,Lung_Opacity-4268.png,299,299,L,123.75962237558863,45.882720968288055,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4268.png,0
COVID,COVID-881.png,299,299,L,137.88129886690305,55.10001952230338,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-881.png,1
Normal,Normal-8708.png,299,299,L,105.01859039608058,46.59047660633551,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8708.png,0
Lung_Opacity,Lung_Opacity-1101.png,299,299,L,73.08381338016353,72.06867212705566,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1101.png,0
Lung_Opacity,Lung_Opacity-3868.png,299,299,L,117.74359347210881,36.675685532153004,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3868.png,0
Normal,Normal-8785.png,299,299,L,117.98144316059104,64.18444449138482,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8785.png,0
Lung_Opacity,Lung_Opacity-1489.png,299,299,L,107.40399995525777,51.4482498193727,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1489.png,0
Normal,Normal-2791.png,299,299,L,135.3797608527869,48.9005792356499,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2791.png,0
Lung_Opacity,Lung_Opacity-5503.png,299,299,L,149.77210545743336,56.47935725519247,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5503.png,0
Normal,Normal-6849.png,299,299,L,121.11989798771826,65.10989355255778,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6849.png,0
Lung_Opacity,Lung_Opacity-2599.png,299,299,L,164.2518316349929,47.719480110678276,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2599.png,0
Normal,Normal-9218.png,299,299,L,148.6331808369034,51.99626954011781,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9218.png,0
Normal,Normal-6274.png,299,299,L,162.56055301394838,54.77926211557896,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6274.png,0
Lung_Opacity,Lung_Opacity-4290.png,299,299,L,158.29595865818055,46.4351025338366,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4290.png,0
Lung_Opacity,Lung_Opacity-1231.png,299,299,L,118.29760293509021,57.65959462016071,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1231.png,0
Normal,Normal-3447.png,299,299,L,134.65563025022092,70.53717215365707,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3447.png,0
Normal,Normal-9607.png,299,299,L,150.29245757877428,60.72926583504628,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9607.png,0
Normal,Normal-7172.png,299,299,L,91.81225042225479,70.1609232932563,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7172.png,0
Normal,Normal-7281.png,299,299,L,160.97938501806468,55.872477373787035,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7281.png,0
Normal,Normal-1869.png,299,299,L,115.04344470419794,66.05309353923508,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1869.png,0
Lung_Opacity,Lung_Opacity-3809.png,299,299,L,172.28024295030258,58.976810796556215,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3809.png,0
Normal,Normal-1565.png,299,299,L,159.46139304929474,67.72796519760543,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1565.png,0
Normal,Normal-8884.png,299,299,L,117.76401829957159,50.04444155238531,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8884.png,0
COVID,COVID-1170.png,299,299,L,144.00697978769813,75.10223168915397,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1170.png,1
Normal,Normal-2291.png,299,299,L,126.31649534121543,58.98755416380559,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2291.png,0
Lung_Opacity,Lung_Opacity-3946.png,299,299,L,151.38294873659132,55.491548629464745,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3946.png,0
Normal,Normal-7045.png,299,299,L,153.04348944642678,62.074908887637434,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7045.png,0
Lung_Opacity,Lung_Opacity-4560.png,299,299,L,124.28878871600989,73.46360367105974,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4560.png,0
Normal,Normal-7729.png,299,299,L,169.46500598427312,40.774713919708596,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7729.png,0
COVID,COVID-1576.png,299,299,L,158.86540419010973,38.481613404059914,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1576.png,1
Viral Pneumonia,Viral Pneumonia-58.png,299,299,L,127.10964083175803,55.391909883141665,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-58.png,0
Lung_Opacity,Lung_Opacity-3320.png,299,299,L,140.34153980380532,49.930044845117905,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3320.png,0
Lung_Opacity,Lung_Opacity-286.png,299,299,L,88.46321629511974,74.99498618877469,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-286.png,0
Normal,Normal-8109.png,299,299,L,141.88877081911835,62.92675069145638,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8109.png,0
COVID,COVID-1406.png,299,299,L,172.388832339683,46.2874525643688,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1406.png,1
COVID,COVID-1351.png,299,299,L,141.41650540821692,49.515906555461,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1351.png,1
Normal,Normal-7167.png,299,299,L,107.7468596548137,56.15325236885778,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7167.png,0
COVID,COVID-2206.png,299,299,L,145.4811020010962,43.906326277740696,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2206.png,1
Lung_Opacity,Lung_Opacity-5501.png,299,299,L,119.2025368843749,67.12529203397612,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5501.png,0
Normal,Normal-9595.png,299,299,L,134.05378015905862,68.05335370430458,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9595.png,0
Normal,Normal-10023.png,299,299,L,134.0479748548674,56.30835135064705,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-10023.png,0
Normal,Normal-4628.png,299,299,L,120.2847283587432,58.24267628108733,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-4628.png,0
Normal,Normal-702.png,299,299,L,154.7857853938994,60.16815255028433,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-702.png,0
Viral Pneumonia,Viral Pneumonia-1203.png,299,299,L,125.2945716490867,44.33052112918603,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-1203.png,0
COVID,COVID-1530.png,299,299,L,133.6290198096218,50.30581103730067,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1530.png,1
Viral Pneumonia,Viral Pneumonia-310.png,299,299,L,75.37442534199842,37.18120541734881,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-310.png,0
Normal,Normal-3059.png,299,299,L,168.46710886902832,59.13598597688655,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3059.png,0
Normal,Normal-8430.png,299,299,L,111.24978467802373,38.55575127674891,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8430.png,0
Lung_Opacity,Lung_Opacity-1393.png,299,299,L,118.52979273162492,59.50436978737228,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1393.png,0
Viral Pneumonia,Viral Pneumonia-838.png,299,299,L,131.40620351002786,55.029597432156336,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-838.png,0
COVID,COVID-1396.png,299,299,L,159.44227693202538,32.91440241053676,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1396.png,1
Lung_Opacity,Lung_Opacity-4810.png,299,299,L,121.92648851802552,56.136935040080665,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4810.png,0
COVID,COVID-1485.png,299,299,L,125.67617811881298,25.443529168487725,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1485.png,1
Normal,Normal-5660.png,299,299,L,128.44053198510085,60.85229661403431,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-5660.png,0
Normal,Normal-9834.png,299,299,L,119.78593080614311,71.82854366203894,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9834.png,0
COVID,COVID-484.png,299,299,L,117.0086576212794,56.06349330622455,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-484.png,1
Normal,Normal-3078.png,299,299,L,109.31837451482646,66.54551207065022,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3078.png,0
Lung_Opacity,Lung_Opacity-5773.png,299,299,L,108.8923725685395,49.03230298985573,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5773.png,0
Normal,Normal-5808.png,299,299,L,100.82874911913737,41.669156860313926,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-5808.png,0
Normal,Normal-304.png,299,299,L,120.39477187056073,62.957528443885806,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-304.png,0
Normal,Normal-2994.png,299,299,L,106.13775013702308,66.85630746859812,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2994.png,0
Normal,Normal-6378.png,299,299,L,122.20156374089775,65.74872961965812,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6378.png,0
Normal,Normal-5000.png,299,299,L,145.76967819151912,65.97190068167014,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-5000.png,0
Normal,Normal-6878.png,299,299,L,144.21240254583282,59.8607683928122,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6878.png,0
Normal,Normal-3423.png,299,299,L,96.37170725159673,62.906546001073295,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3423.png,0
COVID,COVID-3218.png,299,299,L,102.72411941700877,41.951079929490376,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-3218.png,1
Normal,Normal-4243.png,299,299,L,131.37672956678338,36.06472169348028,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-4243.png,0
Viral Pneumonia,Viral Pneumonia-1178.png,299,299,L,127.02167760987014,66.3532207357036,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-1178.png,0
Normal,Normal-2517.png,299,299,L,116.37657296898244,66.95731761865204,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2517.png,0
COVID,COVID-2175.png,299,299,L,171.32319548998333,39.49964140066624,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2175.png,1
Normal,Normal-240.png,299,299,L,116.32879945414481,59.084470582736856,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-240.png,0
Lung_Opacity,Lung_Opacity-4396.png,299,299,L,174.10442836209884,56.45568036772397,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4396.png,0
Lung_Opacity,Lung_Opacity-3870.png,299,299,L,109.86953166071967,46.453036630799,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3870.png,0
Lung_Opacity,Lung_Opacity-2208.png,299,299,L,163.251462511605,57.61124525293587,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2208.png,0
Lung_Opacity,Lung_Opacity-5361.png,299,299,L,89.15885728347557,69.69802170253062,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5361.png,0
Normal,Normal-7608.png,299,299,L,145.2416415923759,47.42070174584642,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7608.png,0
Lung_Opacity,Lung_Opacity-2173.png,299,299,L,116.11808592745048,68.39102920047735,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2173.png,0
COVID,COVID-1736.png,299,299,L,156.49587812216865,44.547141192267304,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1736.png,1
Normal,Normal-3245.png,299,299,L,162.45340656144785,65.7194395357207,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3245.png,0
Normal,Normal-6536.png,299,299,L,142.42177380566213,57.82599944430395,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-6536.png,0
COVID,COVID-573.png,299,299,L,135.12574803413833,47.500669961948226,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-573.png,1
COVID,COVID-406.png,299,299,L,158.32782631066766,55.72781091291103,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-406.png,1
Normal,Normal-3174.png,299,299,L,106.12333195378127,67.68684593200754,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3174.png,0
Normal,Normal-8890.png,299,299,L,93.85968837037618,67.57065786764028,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8890.png,0
Normal,Normal-899.png,299,299,L,126.19229091397187,56.89176098672245,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-899.png,0
Lung_Opacity,Lung_Opacity-2837.png,299,299,L,123.04518965112247,56.52264504565907,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2837.png,0
Lung_Opacity,Lung_Opacity-1725.png,299,299,L,112.34217738056621,52.9997526985456,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1725.png,0
Normal,Normal-2930.png,299,299,L,125.97463115625105,55.468771236956435,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2930.png,0
Lung_Opacity,Lung_Opacity-5311.png,299,299,L,120.29480654578808,62.483797797331135,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5311.png,0
Lung_Opacity,Lung_Opacity-1834.png,299,299,L,109.72583080726166,65.21446669018412,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1834.png,0
Normal,Normal-5688.png,299,299,L,162.65712911488686,60.48605792869469,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-5688.png,0
Normal,Normal-221.png,299,299,L,118.17549020704466,56.33723778049297,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-221.png,0
Normal,Normal-3881.png,299,299,L,163.43123678706056,67.25227827775254,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3881.png,0
Normal,Normal-4085.png,299,299,L,104.47080010290712,68.5371860297692,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-4085.png,0
Normal,Normal-7537.png,299,299,L,114.51773470095412,70.39595131338324,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7537.png,0
COVID,COVID-2544.png,299,299,L,94.03969754253308,80.56160911296263,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2544.png,1
Normal,Normal-9247.png,299,299,L,123.06795226004184,58.799895824896616,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9247.png,0
Viral Pneumonia,Viral Pneumonia-1294.png,299,299,L,134.3183074014832,71.57100622431784,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-1294.png,0
Normal,Normal-8092.png,299,299,L,124.87956510553573,62.15351918037284,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8092.png,0
Viral Pneumonia,Viral Pneumonia-257.png,299,299,L,122.25093679041622,64.97010923195695,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-257.png,0
Lung_Opacity,Lung_Opacity-2888.png,299,299,L,106.25361013858905,70.78271891122631,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2888.png,0
Lung_Opacity,Lung_Opacity-3343.png,299,299,L,128.2581402892585,68.48175877626699,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3343.png,0
Lung_Opacity,Lung_Opacity-5431.png,299,299,L,114.43102426147358,51.4090911554358,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5431.png,0
Viral Pneumonia,Viral Pneumonia-930.png,299,299,L,157.82100871354908,45.978395345802305,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-930.png,0
Normal,Normal-7314.png,299,299,L,137.1573136765808,65.47863938531474,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7314.png,0
COVID,COVID-1627.png,299,299,L,161.54519524390108,51.40275993805492,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1627.png,1
Normal,Normal-8373.png,299,299,L,128.7502712497623,65.46463728850325,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8373.png,0
Lung_Opacity,Lung_Opacity-1123.png,299,299,L,154.65090994507892,65.40385933851329,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1123.png,0
Lung_Opacity,Lung_Opacity-3369.png,299,299,L,129.28006398138723,56.74816826848335,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3369.png,0
Lung_Opacity,Lung_Opacity-3440.png,299,299,L,92.16337624858782,83.8364222491327,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3440.png,0
Normal,Normal-4984.png,299,299,L,103.69475732933635,65.70836826795625,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-4984.png,0
COVID,COVID-782.png,299,299,L,126.03634187537052,48.577141214975455,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-782.png,1
COVID,COVID-2196.png,299,299,L,130.06728112660932,57.36616224549865,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-2196.png,1
Normal,Normal-7682.png,299,299,L,59.39602465296809,67.16760700068403,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7682.png,0
Normal,Normal-3765.png,299,299,L,131.73528260310286,67.63421876695476,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3765.png,0
Viral Pneumonia,Viral Pneumonia-605.png,299,299,L,135.6253397613002,52.56875356162605,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-605.png,0
Normal,Normal-2547.png,299,299,L,94.49689600787464,65.95367226172573,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2547.png,0
Lung_Opacity,Lung_Opacity-401.png,299,299,L,160.40599098444088,39.52250457985499,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-401.png,0
Normal,Normal-2084.png,299,299,L,110.74245254527354,69.11526426539507,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2084.png,0
Normal,Normal-8513.png,299,299,L,145.92428496325545,61.661593085880874,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-8513.png,0
Lung_Opacity,Lung_Opacity-319.png,299,299,L,158.33423563494816,54.159325863522426,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-319.png,0
Normal,Normal-5839.png,299,299,L,151.23486314470756,44.958980094618646,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-5839.png,0
Normal,Normal-659.png,299,299,L,135.2162951197414,61.08714031700243,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-659.png,0
Lung_Opacity,Lung_Opacity-5510.png,299,299,L,114.05080480084115,51.63853553712397,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5510.png,0
COVID,COVID-1290.png,299,299,L,164.7142313844364,50.48057735503362,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1290.png,1
Normal,Normal-121.png,299,299,L,122.87256294672319,66.04333888132325,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-121.png,0
